Equipo; Jugados; Ganados; Empatados; Perdidos; Goles a favor; Goles en contra; Puntos 
Real Madrid CF;37;26;7;4;80;31;85
FC Barcelona;37;21;10;6;68;36;73
Club Atletico de Madrid;37;20;8;9;63;42;68
Sevilla FC;37;17;16;4;52;30;67
Real Betis Balompie;37;19;7;11;62;40;64
Real Sociedad de Futbol;37;17;11;9;39;35;62
Villarreal CF;37;15;11;11;61;37;56
Athletic Club Bilbao;37;14;13;10;43;35;55
CA Osasuna;37;12;11;14;37;49;47
Real Club Celta de Vigo;37;12;10;15;43;41;46
Valencia CF;37;10;15;12;46;53;45
Rayo Vallecano;37;11;9;17;37;46;42
Reial Club Deportiu Espanyol;37;10;11;16;40;53;41
Getafe Club de Futbol;37;8;15;14;32;38;39
Elche CF;37;10;9;18;37;51;39
Granada CF;37;8;13;16;44;61;37
Cadiz CF;37;7;15;15;34;51;36
Real Club Deportivo Mallorca;37;9;9;19;34;63;36
Levante UD;37;7;11;19;47;74;32
Deportivo Alaves;37;8;7;22;31;64;31
